Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2020/1/1,00:00:0,52.173609970597,4.462140011537555,0,-1,0,fake,-1,1
2020/1/1,00:00:1,52.1736144650262,4.462153283528967,0,-1,0,fake,-1,1
2020/1/1,00:00:2,52.173618959455396,4.46216655552038,0,-1,0,fake,-1,1
2020/1/1,00:00:3,52.173623453884595,4.462179827511793,0,-1,0,fake,-1,1
2020/1/1,00:00:4,52.17362794831379,4.462193099503206,0,-1,0,fake,-1,1
2020/1/1,00:00:5,52.17363244274299,4.462206371494618,0,-1,0,fake,-1,1
2020/1/1,00:00:6,52.17363693717218,4.462219643486031,0,-1,0,fake,-1,1
2020/1/1,00:00:7,52.17364143160138,4.462232915477443,0,-1,0,fake,-1,1
2020/1/1,00:00:8,52.17364592603058,4.462246187468856,0,-1,0,fake,-1,1
2020/1/1,00:00:9,52.17365042045978,4.4622594594602685,0,-1,0,fake,-1,1
2020/1/1,00:00:10,52.17365491488898,4.462272731451682,0,-1,0,fake,-1,1
2020/1/1,00:00:11,52.17365940931818,4.4622860034430945,0,-1,0,fake,-1,1
2020/1/1,00:00:12,52.17366664192826,4.462276919413984,0,-1,0,fake,-1,1
2020/1/1,00:00:13,52.17367387453833,4.462267835384875,0,-1,0,fake,-1,1
2020/1/1,00:00:14,52.17368110714841,4.4622587513557646,0,-1,0,fake,-1,1
2020/1/1,00:00:15,52.17368472345345,4.46225420934121,0,-1,0,fake,-1,1
2020/1/1,00:00:16,52.17368472345345,4.46225420934121,0,-1,0,fake,-1,1
2020/1/1,00:00:17,52.17368472345345,4.46225420934121,0,-1,0,fake,-1,1
2020/1/1,00:00:18,52.17368472345345,4.46225420934121,0,-1,0,fake,-1,1
2020/1/1,00:00:19,52.17368472345345,4.46225420934121,0,-1,0,fake,-1,1
2020/1/1,00:00:20,52.17368833975849,4.462249667326655,0,-1,0,fake,-1,1
2020/1/1,00:00:21,52.17369557236857,4.462240583297545,0,-1,0,fake,-1,1
2020/1/1,00:00:22,52.173702804978646,4.4622314992684355,0,-1,0,fake,-1,1
2020/1/1,00:00:23,52.17371003758873,4.462222415239325,0,-1,0,fake,-1,1
2020/1/1,00:00:24,52.17371727019881,4.462213331210216,0,-1,0,fake,-1,1
2020/1/1,00:00:25,52.17372450280888,4.462204247181106,0,-1,0,fake,-1,1
2020/1/1,00:00:26,52.17373173541896,4.462195163151996,0,-1,0,fake,-1,1
2020/1/1,00:00:27,52.17373896802904,4.462186079122887,0,-1,0,fake,-1,1
2020/1/1,00:00:28,52.17374620063912,4.462176995093777,0,-1,0,fake,-1,1
2020/1/1,00:00:29,52.173753433249196,4.462167911064667,0,-1,0,fake,-1,1
2020/1/1,00:00:30,52.17376066585928,4.462158827035557,0,-1,0,fake,-1,1
2020/1/1,00:00:31,52.17376789846936,4.462149743006448,0,-1,0,fake,-1,1
2020/1/1,00:00:32,52.17377513107943,4.462140658977337,0,-1,0,fake,-1,1
2020/1/1,00:00:33,52.17378236368951,4.462131574948228,0,-1,0,fake,-1,1
2020/1/1,00:00:34,52.17378959629959,4.462122490919118,0,-1,0,fake,-1,1
