Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2020/1/1,00:00:0,52.17361085536188,4.462193558192727,0,-1,0,fake,-1,1
2020/1/1,00:00:1,52.17362059875798,4.462195257614922,0,-1,0,fake,-1,1
2020/1/1,00:00:2,52.173630342154084,4.462196957037117,0,-1,0,fake,-1,1
2020/1/1,00:00:3,52.17364008555018,4.462198656459312,0,-1,0,fake,-1,1
2020/1/1,00:00:4,52.17364982894628,4.462200355881507,0,-1,0,fake,-1,1
2020/1/1,00:00:5,52.17365957234239,4.462202055303702,0,-1,0,fake,-1,1
2020/1/1,00:00:6,52.173669315738486,4.462203754725896,0,-1,0,fake,-1,1
2020/1/1,00:00:7,52.17367905913459,4.462205454148091,0,-1,0,fake,-1,1
2020/1/1,00:00:8,52.17368880253069,4.462207153570286,0,-1,0,fake,-1,1
2020/1/1,00:00:9,52.1736985459268,4.462208852992481,0,-1,0,fake,-1,1
2020/1/1,00:00:10,52.173708289322896,4.462210552414676,0,-1,0,fake,-1,1
2020/1/1,00:00:11,52.173718032719,4.4622122518368705,0,-1,0,fake,-1,1
2020/1/1,00:00:12,52.1737277761151,4.4622139512590655,0,-1,0,fake,-1,1
2020/1/1,00:00:13,52.17373751951121,4.4622156506812605,0,-1,0,fake,-1,1
2020/1/1,00:00:14,52.173747262907305,4.462217350103455,0,-1,0,fake,-1,1
2020/1/1,00:00:15,52.17375700630341,4.4622190495256495,0,-1,0,fake,-1,1
2020/1/1,00:00:16,52.173754261903305,4.462204740236031,0,-1,0,fake,-1,1
2020/1/1,00:00:17,52.1737515175032,4.462190430946413,0,-1,0,fake,-1,1
2020/1/1,00:00:18,52.17374877310309,4.462176121656795,0,-1,0,fake,-1,1
2020/1/1,00:00:19,52.173746028702986,4.462161812367177,0,-1,0,fake,-1,1
2020/1/1,00:00:20,52.17374328430288,4.462147503077558,0,-1,0,fake,-1,1
2020/1/1,00:00:21,52.173740539902774,4.46213319378794,0,-1,0,fake,-1,1
2020/1/1,00:00:22,52.17373779550267,4.462118884498322,0,-1,0,fake,-1,1
2020/1/1,00:00:23,52.17373505110256,4.462104575208704,0,-1,0,fake,-1,1
2020/1/1,00:00:24,52.173732306702455,4.462090265919086,0,-1,0,fake,-1,1
2020/1/1,00:00:25,52.17372956230235,4.462075956629467,0,-1,0,fake,-1,1
2020/1/1,00:00:26,52.17372681790224,4.462061647339849,0,-1,0,fake,-1,1
2020/1/1,00:00:27,52.173724073502136,4.462047338050231,0,-1,0,fake,-1,1
2020/1/1,00:00:28,52.17372132910204,4.4620330287606125,0,-1,0,fake,-1,1
2020/1/1,00:00:29,52.17371858470193,4.4620187194709935,0,-1,0,fake,-1,1
